Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name,country
"Troops kill Boko Haram fighters during battle in Babangida, Yobe State",1/15/2016,Goniri,Gujba,Yobe,18,Boko Haram,State Actor,,,,,,,,17,1,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://dailypost.ng/2016/01/15/troops-kill-boko-haram-fighters-during-battle-in-babangida-yobe-state-photos/,http://www.channelstv.com/2016/01/15/army-repels-boko-haram-attack-on-military-base-in-yobe/,http://saharareporters.com/2016/01/16/army-kills-14-boko-haram-members-sect-attacks-military-base-yobe,11.50006008,11.93356037,"Gujba, Yobe, Nigeria",Nigeria
"Five killed in Niger as APC, PDP supporters clash 24 hours to LG election",1/15/2016,,Bida,Niger,5,,,,,,,,Election-related Actor,,,,,,,,,,,,5,,,,,,Other,,,,,,,,Other,,http://dailypost.ng/2016/01/16/five-killed-in-niger-as-apc-pdp-supporters-clash-24-hours-to-lg-election/,,,9.074336,6.016603,"Bida, Niger, Nigeria",Nigeria
Niger Delta Militants Attack More Oil Facilities,1/16/2016,,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,Gun,,,,,,,,,,,Other,Also attacked oil and gas pipelines in Egbema North LGA,http://saharareporters.com/2016/01/17/niger-delta-militants-attack-more-oil-facilities,,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria
Six Niger Soldiers Killed by Mine near Nigerian Border,1/16/2016,,,,6,Boko Haram,,,,,,,,,,6,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,6 Nigerien soldiers killed,http://www.naharnet.com/stories/en/199723-six-niger-soldiers-killed-by-mine-near-nigerian-border,,,13.313247,12.61588),"Kabalewa, Niger",Niger
Abducted septuagenarian murdered as Police kill 2 kidnap suspects,1/17/2016,Idu-Uruan,Uruan,Akwa Ibom,3,,State Actor,,,Kidnapper,,,,,,,,,,2,,,,1,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/196909-abducted-septuagenarian-murdered-as-police-kill-2-kidnap-suspects.html,http://dailytimes.com.ng/kidnappers-killed-11-criminals-arrested-aibom/,,5.028649807,8.015480042,"Uruan, Akwa Ibom, Nigeria",Nigeria
Four Killed In Suicide Bombing At Mosque In Northern Cameroon,1/18/2016,,,,5,Boko Haram,,,,,,,,,1,,,,,,,,,4,,,,,,Suicide Bombing,,,,,,Mosque,,,,,http://saharareporters.com/2016/01/18/four-killed-suicide-bombing-mosque-northern-cameroon,http://www.startribune.com/official-teenage-suicide-bomber-kills-4-at-cameroon-mosque/365677611/,http://www.cameroononline.org/4-dead-in-suicide-attack-at-cameroon-mosque-security-source/,10.999304,13.941953,"Nguetchewe, Cameroon",Cameroon
Gunmen abduct legislator’s wife in Bauchi,1/15/2016,Zalau,Toro,Bauchi,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/nnorth-east/196876-gunmen-abduct-legislators-wife-in-bauchi.html,http://allafrica.com/stories/201601180147.html,,10.06390953,9.07036972,"Toro, Bauchi, Nigeria",Nigeria
"Gunmen invade police station in Zamfara",1/15/2016,Kanoma,Maru,Zamfara,0,,State Actor,,Other Armed Actor,,,,,,,0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/more-news/196871-gunmen-invade-police-station-in-zamfara.html,,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria",Nigeria
Nigerian troops kill 10 insurgents in Marte,1/18/2016,,Marte,Borno,10,Boko Haram,State Actor,,,,,,,,10,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/197235-nigerian-troops-kill-dozens-of-insurgents-recover-arms-hostages.html,,,12.24120045,13.86950016,"Marte, Borno, Nigeria",Nigeria
"Suspected cult members kill popular thug, Bayo Ajia in Kwara",1/18/2016,,Ilorin West,Kwara,1,,,,Other Armed Actor,,,,,,,,,1,,,,,,,,,,,Machete,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/north-central/196985-suspected-cult-members-kill-popular-thug-bayo-ajia-in-kwara.html,http://www.dailytrust.com.ng/photos/10910-48-how-suspected-cultists-machete-car-wash-owner-in-illorin-graphic-photo.html,,8.467869759,4.534480095,"Ilorin West, Kwara, Nigeria",Nigeria
"8 pro-Biafra agitators killed in Nigeria, 26 arrested",1/18/2016,,Aba North,Abia,8,,State Actor,,,,,,,,,,,,,,,,,8,,,,Gun,,,Other,,,,,,,,Other,,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=11575923&ref=rss,http://dailypost.ng/2016/01/18/biafra-ipob-protest-turns-bloody-in-aba/,http://www.africareview.com/News/Biafra-agitators-killed-in-Nigeria-/-/979180/3039394/-/2es51f/-/index.html,5.124800205,7.360300064,"Aba North, Abia, Nigeria",Nigeria
Gunmen abduct University Professor in Rivers,1/18/2016,Elele,Ikwerre,Rivers,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://www.dailytrust.com.ng/news/general/gunmen-abduct-university-professor-in-rivers/129559.html,,,5.118859768,6.902279854,"Ikwerre, Rivers, Nigeria",Nigeria
"Gunmen kidnap pastor, 11 others in Bayelsa",1/18/2016,,Nembe,Bayelsa,12,,,,,,Robber,,,,,,,,,,12,,,,,,,Gun,,,,,,,,,,,Other,suspected pirates,http://dailypost.ng/2016/01/18/gunmen-kidnap-pastor-11-others-in-bayelsa/,,,4.534639835,6.400000095,"Nembe, Bayelsa, Nigeria",Nigeria
Muslim leader abducted in Ogun,1/19/2016,,Abeokuta South,Ogun,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/ssouth-west/197169-muslim-leader-abducted-in-ogun.html,,,7.156599998,3.344520092,"Abeokuta South, Ogun, Nigeria",Nigeria
Troops kill 3 insurgents in Damboa,1/20/2016,Ajigin,Damboa,Borno,3,Boko Haram,State Actor,,,,,,,,3,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/197235-nigerian-troops-kill-dozens-of-insurgents-recover-arms-hostages.html,,,11.14820004,12.7560997,"Damboa, Borno, Nigeria",Nigeria
Troops kill 21 insurgents in Marte,1/20/2016,,Marte,Borno,20,Boko Haram,State Actor,,,,,,,,21,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/197235-nigerian-troops-kill-dozens-of-insurgents-recover-arms-hostages.html,,,12.24120045,13.86950016,"Marte, Borno, Nigeria",Nigeria
Army repels Boko Haram attack in Buratai,1/20/2016,Buratai,Biu,Borno,3,Boko Haram,State Actor,,,,,,,,3,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.dailytrust.com.ng/news/general/army-repels-boko-haram-attack-in-buratai/130104.html,,,10.61758041,12.17827988,"Biu, Borno, Nigeria",Nigeria
Gunmen Storm Residence Of Bauchi Lawmaker,1/21/2016,,Toro,Bauchi,0,,State Actor,,,Kidnapper,,,,,,,,,,,0,,,,,,,Gun,,,,,,,,,,,Other,,http://leadership.ng/news/493797/gunmen-storm-residence-bauchi-lawmaker,http://dailypost.ng/2016/01/21/gunmen-attack-bauchi-lawmaker/,,10.06390953,9.07036972,"Toro, Bauchi, Nigeria",Nigeria
Troops kill 8 insugrents in Gwoza,1/21/2016,Dure,Gwoza,Borno,8,Boko Haram,State Actor,,,,,,,,8,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/197235-nigerian-troops-kill-dozens-of-insurgents-recover-arms-hostages.html,,,11.08539963,13.69190025,"Gwoza, Borno, Nigeria",Nigeria
Troops kill 20 insurgents in Dikwa,1/21/2016,,Dikwa,Borno,20,Boko Haram,State Actor,,,,,,,,20,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/197235-nigerian-troops-kill-dozens-of-insurgents-recover-arms-hostages.html,,,12.04399967,13.92140007,"Dikwa, Borno, Nigeria",Nigeria
Troops kil 4 insurgents in Askira/Uba,1/21/2016,,Askira/Uba,Borno,4,Boko Haram,State Actor,,,,,,,,4,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/197235-nigerian-troops-kill-dozens-of-insurgents-recover-arms-hostages.html,http://allafrica.com/stories/201601250058.html,,10.65087986,12.90927029,"Askira/Uba, Borno, Nigeria",Nigeria
Suspected cultists kill three in Rivers,1/21/2016,Isiokpo,Ikwerre,Rivers,3,,,,Other Armed Actor,,,,,,,,,,,,,,,3,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2016/01/suspected-cultists-kill-three-in-rivers/,,,5.118859768,6.902279854,"Ikwerre, Rivers, Nigeria",Nigeria
Nigerian Troops Kill 10 Terrorists During Raid Operations,1/22/2016,,Gwoza,Borno,10,Boko Haram,State Actor,,,,,,,,10,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/2016/01/22/nigerian-troops-kill-10-terrorists-during-raid-operations,,,11.08539963,13.69190025,"Gwoza, Borno, Nigeria",Nigeria
Three Suicide Bombers Killed Near Northeast Nigeria's Maiduguri,1/22/2016,,Maiduguri,Borno,3,Boko Haram,State Actor,,,,,,,,3,,,,,,,,,,,,,Gun,,Suicide Bombing,,,,,,,,,Other,,http://www.bloomberg.com/news/articles/2016-01-22/three-suicide-bombers-killed-near-northeast-nigeria-s-maiduguri,http://dailypost.ng/2016/01/22/troops-kill-63-terrorists-in-a-week-intercepts-three-suicide-bombers/,http://saharareporters.com/2016/01/22/nigerian-troops-kill-10-terrorists-during-raid-operations,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria",Nigeria
Boko Haram militants kill one in fresh Yobe town attack,1/24/2016,Babangida,Tarmuwa,Yobe,1,Boko Haram,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,Other,,,,,,,,Other,,http://www.dailytrust.com.ng/news/general/boko-haram-militants-kill-one-in-fresh-yobe-town-attack/130432.html,http://www.vanguardngr.com/2016/01/one-killed-in-boko-haram-attack-in-yobe/,http://www.globalsecurity.org/military/library/news/2016/01/mil-160125-presstv03.htm,12.26379013,11.51231956,"Tarmuwa, Yobe, Nigeria",Nigeria
"Fulani herdsmen kill DPO, 29 others in Adamawa",1/24/2016,Girei,,Adamawa,30,,,Sectarian Actor,,,,,,,,,30,,,,,,,,,,,Gun,,,Other,,,,,,,,Other,,http://nationalmirroronline.net/new/fulani-herdsmen-kill-dpo-29-others-in-adamawa/,http://saharareporters.com/2016/01/24/herdsman-believed-responsible-death-dpo-adamawa-state-30-others,http://leadership.ng/news/494932/herdsmen-farmers-clash-dpo-29-others-killed-adamawa,10.17329979,12.73544025,"Girei, Adamawa, Nigeria",Nigeria
"Gunmen storm Bayelsa community, abduct one",1/24/2016,Igbedi,Kolokuma/Opokuma,Bayelsa,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/south-south-regional/197320-gunmen-storm-bayelsa-community-abduct-one.html,,,5.125289917,6.290239811,"Kolokuma/Opokuma, Bayelsa, Nigeria",Nigeria
Gunmen kill two police officers in Kaduna,1/24/2016,Nimbia,Jema'a,Kaduna,2,,,,Other Armed Actor,,,,,,,2,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/top-news/197309-gunmen-kill-two-police-officers-in-kaduna.html,,,9.351160049,8.235910416,"Jema'a, Kaduna, Nigeria",Nigeria
Four suicide bombers linked to Boko Haram kill dozens in Cameroon,1/25/2016,,,,35,Boko Haram,,,,,,,,,4,,,,,,,,,31,,,,,,Suicide Bombing,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N15926Z?feedType=RSS&feedName=nigeriaNews,http://www.therepublic.com/view/story/cf4f0105bf9d4589a6959d7208ae404d/AF--Boko-Haram,http://www.digitaljournal.com/news/world/many-fatalities-in-three-suicide-attacks-in-north-cameroon/article/455757,12.35990047,14.47200012,"Bodo, Cameroon",Cameroon
40 Killed As Cameroonian Troops Chase Boko Haram Into Borno Village,1/25/2016,Gwadale,Gwoza,Borno,40,,,,,,,,,Cameroon State Actor,,,,,,,,,,40,,,,Gun,,,,,,,,,,,Other,,http://www.leadership.ng/news/495371/40-killed-cameroonian-troops-chase-boko-haram-borno-village,http://wcfcourier.com/news/world/africa/villagers-cameroon-troops-kill-in-pursuit-of-boko-haram/article_1b722727-b743-52ab-8787-4abeb7d39f28.html,,11.08539963,13.69190025,"Gwoza, Borno, Nigeria",Nigeria
"Bomb blasts kill 14, injure 24 in Chibok",1/27/2016,,Chibok,Borno,16,Boko Haram,,,,,,,,,2,,,,,,,,,14,,,,,,Suicide Bombing,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N15B3SX?feedType=RSS&feedName=nigeriaNews,http://nationalmirroronline.net/new/bomb-blasts-kill-14-injure-24-in-chibok/,,10.8685503,12.84770012,"Chibok, Borno, Nigeria",Nigeria
Suicide bombers kill four in north Cameroon school,1/28/2016,,,,6,Boko Haram,,,,,,,,,2,,,,,,,,,4,,,,,,Suicide Bombing,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N15C2C2?feedType=RSS&feedName=nigeriaNews,,,11.18249989,13.91349983,"Kerawa, Cameroon",Cameroon
"Five killed, scores injured as police, residents clash in Ondo",1/27/2016,Ilaramokin ,Ifedore,Ondo,5,,State Actor,,,,,Other,,,,,,,,,,,,5,,,,Gun,,,Other,,,,,,,,Other,,http://www.premiumtimesng.com/regional/ssouth-west/197534-two-killed-police-ondo-residents-clash.html,http://dailypost.ng/2016/01/27/five-killed-scores-injured-as-police-residents-clash-in-ondo/,,7.413259983,5.055009842,"Ifedore, Ondo, Nigeria",Nigeria
At least 18 killed as suicide attacker hits market in NE Nigeria,1/29/2016,,Gombi,Adamawa,18,Boko Haram,,,,,,,,,1,,,,,,,,,17,,,,,,Suicide Bombing,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/197642-10-feared-killed-blast-hits-adamawa-market.html,http://af.reuters.com/article/nigeriaNews/idAFL8N15D3K6?feedType=RSS&feedName=nigeriaNews,http://www.globaltimes.cn/content/966432.shtml,9.358860016,12.54586983,"Gombi, Adamawa, Nigeria",Nigeria
Another Delta Monarch Kidnapped,1/29/2016,,Isoko South,Delta,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/2016/01/29/another-delta-monarch-kidnapped,,,5.457650185,6.20483017,"Isoko South, Delta, Nigeria",Nigeria
"Kidnappers abduct businessman in Amuwo Odofin, lay siege to FESTAC",1/28/2016,,Lagos State,Lagos,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2016/01/kidnappers-abduct-businessman-in-amuwo-odofin-lay-siege-to-festac/,,,6.60160017,3.396859884,"Lagos State, Lagos, Nigeria",Nigeria
"Boko Haram burns kids alive in Nigeria, 86 dead: officials",1/30/2016,Dalori,Maiduguri,Borno,86,Boko Haram,,,,,,,,,3,,,,,,,,,83,,,,Gun,,Suicide Bombing,Other,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N15F0I6?feedType=RSS&feedName=nigeriaNews,http://www.premiumtimesng.com/news/top-news/197800-nema-declares-65-dead-136-injured-dalori-village-attack-borno.html,http://www.startribune.com/boko-haram-burns-kids-alive-in-northeast-nigeria-witness/367133841/,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria",Nigeria
"5 dead, 4 injured as CJTF vehicles step on Boko Haram’s landmines in Borno",1/30/2016,Buma,Kaga,Borno,5,Boko Haram,,,,,,,,,,5,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://www.vanguardngr.com/2016/01/5-dead-4-injured-as-cjtf-vehicles-step-on-suspected-boko-harams-landmines-in-borno/,,,11.80854988,12.49157047,"Kaga, Borno, Nigeria",Nigeria
Three Armed Robbers Meet Waterloo,1/30/2016,,Ofu,Kogi,3,,,,,,,Other,,,,,,,,,,3,,,,,,,,,Other,,,,,,,,Other,,http://www.ngrguardiannews.com/2016/01/three-armed-robbers-meet-waterloo/,,,7.357029915,7.104119778,"Ofu, Kogi, Nigeria",Nigeria
Gunmen abduct Dickson's aide in P/Harcourt,1/31/2016,,Port Harcourt,Rivers,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://www.dailytrust.com.ng/news/general/gunmen-abduct-dickson-s-aide-in-p-harcourt/131549.html,,,4.801559925,7.025010109,"Port Harcourt, Rivers, Nigeria",Nigeria
"10 Killed in fresh herdsmen, Benue community feud",1/31/2016,,Agatu,Benue,10,,,Sectarian Actor,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.peoplesdailyng.com/10-killed-in-fresh-herdsmen-benue-community-feud/,,,7.876510143,7.965169907,"Agatu, Benue, Nigeria",Nigeria
"Gunmen Attack Agip Pipeline In Brass LGA, Bayelsa",1/28/2016,,Brass,Bayelsa,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://saharareporters.com/2016/01/30/gunmen-attack-agip-pipeline-brass-lga-bayelsa,http://www.ngrguardiannews.com/2016/01/explosion-rocks-agip-pipelines-in-bayelsa/,,4.533239841,6.410749912,"Brass, Bayelsa, Nigeria",Nigeria
"More Than 1,000 Civilians Freed, 100 Boko Haram Killed, In Military Operation",2/1/2016,Garidawaji and Mamawari ,Dikwa,Borno,100,,State Actor,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,Other,,http://saharareporters.com/2016/02/02/more-1000-civilians-freed-100-boko-haram-killed-military-operation,http://leadership.ng/news/497475/soldiers-kill-100-boko-haram-rescue-1200-captives-borno,,12.04399967,13.92140007,"Dikwa, Borno, Nigeria",Nigeria
Boko Haram kills 6 in fresh Borno village attack,2/1/2016,Goniambari,Kaga,Borno,6,Boko Haram,,,,,,,,,,,,,,,,,,6,,,Bomb,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2016/02/boko-haram-kills-6-in-fresh-borno-village-attack/,http://news2.onlinenigeria.com/latest-addition/456051-boko-haram-invades-borno-village.html,,11.80854988,12.49157047,"Kaga, Borno, Nigeria",Nigeria
Nigerian air force bombs Boko Haram base,2/2/2016,Sambisa,Gwoza,Borno,,,State Actor,,,,,,,,,,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://news.xinhuanet.com/english/2016-02/03/c_135069316.htm,,,11.08539963,13.69190025,"Gwoza, Borno, Nigeria",Nigeria
Two Suicide Bombers Intercepted in Maiduguri,2/2/2016,,Maiduguri,Borno,2,Boko Haram,,,,,,,,,2,,,,,,,,,,,,,,,Suicide Bombing,,,,,,,,,Other,,http://www.thisdaylive.com/articles/two-suicide-bombers-intercepted-in-maiduguri/230947/,http://dailypost.ng/2016/02/03/boko-haram-troops-kill-58-terrorists-rescue-520-hostages-in-borno/,,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria",Nigeria
"Pipeline vandals ambush, kill five JTF operatives in Arepo
",2/5/2016,Arepo,Obafemi Owode,Ogun,5,,State Actor,,Other Armed Actor,,,,,,,5,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://nationalmirroronline.net/new/3-naval-ratings-killed-by-pipeline-vandals/,http://news2.onlinenigeria.com/news/general/456407-pipeline-vandals-ambush-kill-five-jtf-operatives-in-arepo.html,,6.947889805,3.503329992,"Obafemi Owode, Ogun, Nigeria",Nigeria
"Boko Haram attacks Borno communities again, kills 4",2/5/2016,Mairi and malari,Konduga,Borno,4,Boko Haram,,,,,,,,,,,,,,,,,,4,,,,Gun,,,Other,,,,,,,,Other,,http://www.premiumtimesng.com/news/top-news/198070-boko-haram-attacks-borno-communities-kills-4.html,http://www.bloomberg.com/news/articles/2016-02-06/militants-kill-four-people-in-nigeria-s-northeastern-borno-state,http://news2.onlinenigeria.com/news/general/456629-boko-haram-raids-two-borno-communities-kills-four.html,11.64630032,13.4211998,"Konduga, Borno, Nigeria",Nigeria
Boko Haram kills 5 in Jawu,2/5/2016,Jawu,Maiduguri,Borno,5,Boko Haram,,,,,,,,,,,,,,,,,,5,,,,Gun,,,,,,,,,,,Other,,http://nationalmirroronline.net/new/10-killed-in-terror-attacks-in-borno-villages/,,,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria",Nigeria
Gunmen Massacre 50 in Zamfara,2/6/2016,Kwanar Dutse,Maru,Zamfara,50,,,Sectarian Actor,,,,,,,,,50,,,,,,,,,,,Gun,,,Other,,,,,,,,Other,,http://www.thisdaylive.com/articles/gunmen-massacre-50-in-zamfara/231554/,http://nation.com.pk/international/09-Feb-2016/at-least-23-killed-in-nw-nigeria-attack,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria",Nigeria
"Again, Suspected Fulani Herdsmen Kill 12 in Benue",2/6/2016,Tom-Anyiin and Tom-Ataan,Buruku,Benue,12,,,Sectarian Actor,,,,,,,,,12,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.thisdaylive.com/articles/again-suspected-fulani-herdsmen-kill-12-in-benue/231376/,http://www.peoplesdailyng.com/12-feared-killed-in-fresh-attack-on-benue-community/,,7.46667,9.199999809,"Buruku, Benue, Nigeria",Nigeria
Suspected cult members blow up Agip pipeline in Rivers,2/7/2016,Akala ,Ahoada West,Rivers,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N15O2EJ?feedType=RSS&feedName=nigeriaNews,http://nationalmirroronline.net/new/suspected-cult-members-blow-up-agip-pipeline-in-rivers/,,5.062709808,6.450200081,"Ahoada West, Rivers, Nigeria",Nigeria
Gunmen Abduct Mother Of Taraba Deputy Governor,2/8/2016,,Gassol,Taraba,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://leadership.ng/news/499534/gunmen-abduct-mother-taraba-deputy-governor,http://www.vanguardngr.com/2016/02/gunmen-kidnap-taraba-deputy-govs-mother-demand-n300m/,,8.641360283,10.77748013,"Gassol, Taraba, Nigeria",Nigeria
Female suicide bombers kill over 60 people in northeast Nigeria,2/9/2016,,Dikwa,Borno,60,Boko Haram,,,,,,,,,2,,,,,,,,,58,,,,,,Suicide Bombing,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N15P5BA?feedType=RSS&feedName=nigeriaNews,http://saharareporters.com/2016/02/10/least-60-murdered-boko-haram-officials-confirm,http://www.premiumtimesng.com/news/headlines/198295-58-killed-78-injured-suicide-bombings-borno-idp-camp.html,12.04399967,13.92140007,"Dikwa, Borno, Nigeria",Nigeria
Double suicide bombing in Cameroon's north kills at least 10,2/10/2016,,,,10,Boko Haram,,,,,,,,,2,,,,,,,,,8,,,,,,Suicide Bombing,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N15P2LR?feedType=RSS&feedName=nigeriaNews,http://www.usnews.com/news/world/articles/2016-02-10/double-suicide-bombing-in-cameroons-north-kills-at-least-10,http://www.africareview.com/News/Scores-killed-in-Cameroon-suicide-bomb-attacks/-/979180/3070926/-/c8xp24z/-/index.html,10.999304,13.941953,"Nguetchewe, Cameroon",Cameroon
24 injured as APC members fight dirty in Ondo,2/10/2016,Oka-Akoko,Akoko South-West,Ondo,0,,,,,,,Other,,,,,,,,,,,,0,,,,,Machete,,Other,,,,,,,,Other,,http://dailypost.ng/2016/02/11/24-injured-as-apc-members-fight-dirty-in-ondo/,http://sunnewsonline.com/new/scores-injured-as-apc-supporters-clash-in-ondo/,,7.3753901,5.724899769,"Akoko South-West, Ondo, Nigeria",Nigeria
Nigerian Military Kills Boko Haram Terrorists in an Ambush,2/10/2016,Mainok,Kaga,Borno,10,,State Actor,,,,,,,,10,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,"""some"" terrorists killed",http://www.thisdaylive.com/articles/nigerian-military-kills-boko-haram-terrorists-in-an-ambush/231612/,http://allafrica.com/stories/201602110039.html,,11.80854988,12.49157047,"Kaga, Borno, Nigeria",Nigeria
Cameroon soldiers kill 27 Boko Haram members in Nigerian border,2/11/2016,Ashigashiya,Gwoza,Borno,29,Boko Haram,,,,,,,,Cameroon State Actor,,27,,,,,,,,,,2,,,,,,,,,,,,,Other,,http://dailypost.ng/2016/02/12/cameroon-soldiers-kill-17-boko-haram-members-in-nigerian-border/,http://news.yahoo.com/cameroon-soldiers-kill-27-boko-haram-fighters-across-113932388.html,,11.08539963,13.69190025,"Gwoza, Borno, Nigeria",Nigeria
"4 killed, 21 houses burnt as Boko Haram attacks Borno village",2/11/2016,Shuwari ,Konduga,Borno,4,Boko Haram,,,,,,,,,,,,,,,,,,4,,,,Gun,,,Other,,,,,,,,Other,,http://saharareporters.com/2016/02/12/boko-haram-kills-four-raids-village-food-borno-state,http://www.dailytrust.com.ng/news/general/4-killed-21-houses-burnt-as-boko-haram-attacks-borno-village/133345.html,,11.64630032,13.4211998,"Konduga, Borno, Nigeria",Nigeria
"4 policemen, bank officials killed in Osun bank robbery, says CP",2/12/2016,Ikirun,Ifelodun,Osun,8,,State Actor,,,,Robber,,,,,2,,,,,,4,,2,,,Bomb,Gun,,,,,,,,,Bank,,,,http://www.dailytrust.com.ng/news/general/five-robbers-killed-3-arrested-in-osun-bank-robbery/133376.html,http://news2.onlinenigeria.com/news/general/458420-three-robbers-one-cop-killed-during-bank-robbery.html,http://www.vanguardngr.com/2016/02/4-policemen-bank-officials-killed-in-osun-bank-robbery-says-cp/,7.92734,4.663020134,"Ifelodun, Osun, Nigeria",Nigeria
"Nigerian Military kills many terrorists, destroys bomb making workshop",2/13/2016,"Mararraba, Angwan Fada Dale, Wizha, Bokko Timit, Bokko Nasanu, Bokko Hide",Gwoza,Borno,10,,State Actor,,,,,,,Cameroon State Actor,10,,,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/198381-nigerian-military-kills-many-terrorists-destroys-bomb-making-workshop.html,,,11.08539963,13.69190025,"Gwoza, Borno, Nigeria",Nigeria
Boko Haram kill 8 in Borno,2/12/2016,Kachifa,Damboa,Borno,8,Boko Haram,,,,,,,,,,,,,,,,,,8,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/2016/02/13/more-30-civilians-murdered-boko-haram-borno-state-jtf-sources-say,http://news.yahoo.com/gunmen-kill-30-two-nigeria-village-raids-vigilantes-221752780.html,http://www.ngrguardiannews.com/2016/02/30-dead-in-fresh-boko-haram-raids-on-borno-villages/,11.14820004,12.7560997,"Damboa, Borno, Nigeria",Nigeria
